"collection","file","source","last_write_time","bytes"
"sessions","rollout-2026-08-14T23-29-48-01a000e4-c647-7520-9595-fe4098528f23.jsonl","C:\Users\30479\.codex\sessions\2026\08\14\rollout-2026-08-14T23-29-48-01a000e4-c647-7520-9595-fe4098528f23.jsonl","2026-08-14T23:30:01","143035"
"sessions","rollout-2026-07-10T19-34-36-019f4bce-baa0-7be2-b06f-e34e566e7bbd.jsonl","C:\Users\30479\.codex\sessions\2026\07\10\rollout-2026-07-10T19-34-36-019f4bce-baa0-7be2-b06f-e34e566e7bbd.jsonl","2026-08-14T23:29:41","8476409"
"sessions","rollout-2026-08-14T23-23-22-01a000de-e328-72a3-beb6-b9388c2410f8.jsonl","C:\Users\30479\.codex\sessions\2026\08\14\rollout-2026-08-14T23-23-22-01a000de-e328-72a3-beb6-b9388c2410f8.jsonl","2026-08-14T23:29:29","358483"
"sessions","rollout-2026-08-14T15-17-10-019fff21-c233-7a63-a384-b377108283a6.jsonl","C:\Users\30479\.codex\sessions\2026\08\14\rollout-2026-08-14T15-17-10-019fff21-c233-7a63-a384-b377108283a6.jsonl","2026-08-14T15:17:10","429374"
"sessions","rollout-2026-08-14T07-13-24-019ffd66-dd1b-7901-8b24-c993847ac46f.jsonl","C:\Users\30479\.codex\sessions\2026\08\14\rollout-2026-08-14T07-13-24-019ffd66-dd1b-7901-8b24-c993847ac46f.jsonl","2026-08-14T07:13:24","622622"
"sessions","rollout-2026-08-12T13-22-38-019ff46c-2f6c-7261-b665-b76bf97b7825.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T13-22-38-019ff46c-2f6c-7261-b665-b76bf97b7825.jsonl","2026-08-12T13:22:38","357728"
"sessions","rollout-2026-08-12T12-45-35-019ff44a-438b-7362-ab14-1d164871e659.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T12-45-35-019ff44a-438b-7362-ab14-1d164871e659.jsonl","2026-08-12T13:16:31","159783"
"sessions","rollout-2026-08-12T12-45-35-019ff44a-42c8-7503-9bb3-0f25df78cc27.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T12-45-35-019ff44a-42c8-7503-9bb3-0f25df78cc27.jsonl","2026-08-12T12:45:35","903224"
"sessions","rollout-2026-08-12T12-24-23-019ff436-dc2c-78f2-bade-c3731dda534c.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T12-24-23-019ff436-dc2c-78f2-bade-c3731dda534c.jsonl","2026-08-12T12:24:24","598435"
"sessions","rollout-2026-08-12T12-19-31-019ff432-6432-7d12-bc6e-18794e34e37f.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T12-19-31-019ff432-6432-7d12-bc6e-18794e34e37f.jsonl","2026-08-12T12:19:31","141499"
"sessions","rollout-2026-08-12T12-05-03-019ff425-27d5-7362-b4bb-db3226c8059f.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T12-05-03-019ff425-27d5-7362-b4bb-db3226c8059f.jsonl","2026-08-12T12:05:03","198785"
"sessions","rollout-2026-08-12T11-45-12-019ff412-f9e2-7de3-9fc6-51a1998e8423.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T11-45-12-019ff412-f9e2-7de3-9fc6-51a1998e8423.jsonl","2026-08-12T11:55:42","128060"
"sessions","rollout-2026-08-12T11-45-11-019ff412-f8f1-7a31-add2-502ef4b4c6dc.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T11-45-11-019ff412-f8f1-7a31-add2-502ef4b4c6dc.jsonl","2026-08-12T11:45:12","689833"
"sessions","rollout-2026-08-12T11-38-36-019ff40c-f14b-7591-8fdb-4b3a7df08270.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T11-38-36-019ff40c-f14b-7591-8fdb-4b3a7df08270.jsonl","2026-08-12T11:38:36","254969"
"sessions","rollout-2026-08-12T11-31-30-019ff406-70b9-71d2-9134-bb1d8ea3593b.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T11-31-30-019ff406-70b9-71d2-9134-bb1d8ea3593b.jsonl","2026-08-12T11:31:30","119869"
"sessions","rollout-2026-08-12T11-19-03-019ff3fb-08c0-7f02-a3b3-1a592ef00bf8.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T11-19-03-019ff3fb-08c0-7f02-a3b3-1a592ef00bf8.jsonl","2026-08-12T11:19:03","117693"
"sessions","rollout-2026-08-12T10-55-50-019ff3e5-c698-73d0-9823-96d31d20787e.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T10-55-50-019ff3e5-c698-73d0-9823-96d31d20787e.jsonl","2026-08-12T11:03:45","229526"
"sessions","rollout-2026-08-12T10-55-49-019ff3e5-c5dd-7d83-9b59-9182d519c03c.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T10-55-49-019ff3e5-c5dd-7d83-9b59-9182d519c03c.jsonl","2026-08-12T10:55:49","342888"
"sessions","rollout-2026-08-12T10-46-59-019ff3dd-af7c-7a83-a4de-6a4dc15117ae.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T10-46-59-019ff3dd-af7c-7a83-a4de-6a4dc15117ae.jsonl","2026-08-12T10:46:59","164182"
